,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,0.0
0,36.5,34.3291781354,37.3,34.2222136467,34.1707249287,37.5,34.0715701003,37.7,33.9773023017,33.931925297,38.2,33.8445401515,34.7,33.7614619452,33.7214711931,29.6,33.6444586687,27.3,33.5712418495,33.5359980017,28.6,33.4681268677,27.4,33.4036008884,33.3725404871,28.2,33.3127256599,30.2,33.2558589176,33.2284853874,34.7,33.1757705831,36.6,33.1256539259,33.101529635,37.4,33.0550720806,37.9,33.010904273,32.9896435367,38.0,32.9487004962,37.9,32.9097754095,32.8910383236,37.8,32.8549552241,38.0,32.8206505471,32.8041375542,38.2,32.7723375203,38.3,32.7421048101,32.7275519103,38.3,32.699526542,38.4,32.672882456,32.660056986,34.9,32.6353582303,30.6,32.6118767986,32.6005737126,32.3,32.5788067004,32.5,32.5581125158,32.5481511066,35.1,32.5289678398,34.6,32.5107300559,32.5019510665,34.6,32.4850448544,36.4,32.4689718963,32.4612349734,39.1,32.4463355295,40.5,32.4321704323,32.4253518825,40.8,32.4122210033,40.6,32.3997373039,32.3937281163,41.0,32.3821558731,40.7,32.3711539894,32.3658580926,41.5
1,37.2,36.1426145801,37.9,36.0394108865,35.9893821307,38.1,35.8923645934,38.4,35.7992637567,35.7541324358,38.8,35.6666121777,37.1,35.5826252052,35.5419118975,32.2,35.4629592073,31.0,35.3871939208,35.3504661364,32.1,35.2792423143,31.5,35.2108938734,35.1777614598,32.7,35.1135099085,34.7,35.0518522603,35.0219632581,37.6,34.9640014451,39.1,34.9083796119,34.8814165158,38.3,34.8291287237,38.6,34.778951845,34.7546282311,39.0,34.7074590162,38.9,34.6621940725,34.6402515555,38.9,34.5976998481,39.0,34.5568659983,34.5370714868,39.0,34.4986852682,39.1,34.4618487418,34.4439919625,39.2,34.4093634628,39.1,34.3761329523,34.3600242159,36.6,34.328785583,33.0,34.2988080869,34.2842762733,35.5,34.2560956651,36.4,34.2290527379,34.2159434785,38.3,34.1905215375,38.1,34.1661259073,34.1542999447,39.0,34.1313666185,40.0,34.109359135,34.0986908442,41.9,34.0780025163,41.9,34.0581493981,34.0485254519,41.5,34.029862354,41.4,34.0119527052,34.0032708701,41.9,33.9864347476,41.5,33.9702783172,33.9624463678,42.1
2,36.4,34.3937582687,37.3,34.2914686486,34.2425531254,37.8,34.1489657653,38.0,34.0607646077,34.0185862736,38.5,33.9378888041,34.3,33.8618356894,33.825466624,29.2,33.7558837061,28.2,33.6903054711,33.6589455572,29.9,33.5989463716,29.3,33.5424002993,33.5153596211,31.1,33.4636241896,32.1,33.4148662704,33.3915499347,35.8,33.3469400814,37.3,33.3048976444,33.2847926933,37.5,33.2463270045,38.0,33.2100751188,33.1927392449,38.1,33.1595714779,38.0,33.1283126045,33.1133644197,37.8,33.0847648859,37.9,33.0578113317,33.0449219769,38.6,33.0202614885,38.7,32.9970202771,32.9859061874,38.6,32.9646422154,38.7,32.9446020418,32.9350187079,34.6,32.9166834463,30.5,32.8994034279,32.8911400172,33.3,32.8753300915,34.5,32.8604300691,32.8533047871,36.2,32.8396723799,35.9,32.8268245541,32.8206806451,36.3,32.8089258444,37.7,32.7978475639,32.7925498622,39.9,32.7824140632,40.8,32.7728616065,32.7682935632,40.9,32.759553779,40.8,32.7513169927,32.7473781111,40.8,32.739842067,40.8,32.7327397424,32.7293433673,41.6
3,36.2,34.9820614505,37.0,34.8786103219,34.8297544343,37.4,34.7374303984,37.6,34.651851279,34.6114356365,38.0,34.5350613157,35.3,34.4642666732,34.430833156,28.9,34.3676531095,28.3,34.3090888074,34.2814311975,32.1,34.229166009,32.7,34.1807191582,34.1578396214,34.0,34.114603662,35.7,34.0745263918,34.0555994779,39.1,34.0198328761,38.9,33.9866792747,33.9710221364,38.1,33.9414345009,38.3,33.9140084491,33.9010562066,38.4,33.8765800716,38.4,33.8538920895,33.8431774504,38.3,33.8229297634,38.3,33.8041613115,33.795297712,38.6,33.7785479747,38.7,33.7630219229,33.755689581,38.7,33.7418334947,38.8,33.7289896924,33.7229240712,35.7,33.7114617346,29.9,33.7008368018,33.6958190652,34.7,33.6863369388,38.0,33.6775475481,33.6733966655,38.9,33.6655526523,38.5,33.6582816991,33.6548479147,39.6,33.6483590174,40.6,33.6423441795,33.6395036088,42.2,33.6341357204,41.8,33.6291599937,33.6268101543,41.3,33.6223696116,41.1,33.6182534815,33.6163095956,41.2,33.6126361921,40.9,33.6092311564,33.6076230923,41.4
4,36.0,35.1717441968,36.8,35.0626206386,35.0101512611,37.1,34.9092197528,37.3,34.8134050273,34.7673348744,37.6,34.678713087,35.9,34.5945840338,34.5541326489,31.0,34.476319275,30.4,34.4024506963,34.3669328081,30.5,34.2986096413,31.1,34.233750158,34.2025640716,33.2,34.1425736755,34.6,34.0856245282,34.0582419322,38.0,34.0055680327,38.6,33.9555644678,33.9315214842,38.4,33.8852717531,38.7,33.8413666796,33.8202560054,38.7,33.7796469438,38.5,33.7410965828,33.7225605903,38.4,33.6869042558,38.5,33.6530555404,33.6367802186,38.7,33.605472571,38.9,33.5757520832,33.561461718,39.0,33.5339723865,38.9,33.507876643,33.495329147,36.7,33.4711924455,31.8,33.4482793684,33.4372621791,33.4,33.416069217,36.0,33.3959506448,33.3862771244,38.0,33.3676688799,37.8,33.3500039915,33.3415102646,38.4,33.3251715027,39.6,33.309661044,33.3022032217,41.3,33.2878571537,41.7,33.2742383681,33.2676901102,41.5,33.2550937049,41.2,33.2431358818,33.2373862568,41.4,33.2263261233,41.4,33.2158266899,33.2107782957,41.9
5,35.7,34.5292964504,36.5,34.4184910545,34.3657687548,36.8,34.2653983251,37.1,34.1714326946,34.1267229212,37.4,34.041606392,34.1,33.9619212859,33.9240063269,29.5,33.8518254707,28.9,33.7842505915,33.7520977978,31.0,33.6908867023,32.4,33.6335815857,33.6063152463,34.1,33.5544067707,35.3,33.5058106588,33.4826881496,39.0,33.4386685187,38.6,33.3974578514,33.3778494096,38.0,33.3405197079,38.4,33.3055720746,33.2889436462,38.6,33.2572871647,38.4,33.2276507344,33.2135494287,38.3,33.1867039738,38.4,33.1615715708,33.1496133257,38.7,33.1268477369,38.7,33.1055348569,33.0953939786,38.8,33.0760882137,38.7,33.0580143809,33.0494146731,36.1,33.033042922,30.6,33.0177158787,33.0104231204,33.3,32.9965394832,37.2,32.9835417832,32.9773573495,38.5,32.9655836925,38.4,32.9545613315,32.9493167835,39.6,32.9393324403,40.9,32.9299852141,32.9255377117,41.9,32.9170707494,41.4,32.9091440776,32.9053724891,41.2,32.8981923022,41.0,32.8914702946,32.8882718971,41.1,32.8821829266,41.0,32.8764825031,32.8737701854,41.5
6,36.6,34.8937844097,37.6,34.7879503313,34.7375282578,38.0,34.6414140008,38.3,34.5512784744,34.5083355944,38.8,34.4264781315,34.7,34.3497125637,34.3131394754,30.7,34.2434240716,29.8,34.1780452734,34.1468971345,28.9,34.0875227372,28.7,34.0318416893,34.0053138077,33.8,33.9547465176,35.6,33.9073247358,33.8847317809,38.4,33.8416652244,39.4,33.8012775976,33.7820358947,38.8,33.7453574751,39.3,33.7109606148,33.6945730671,39.5,33.6633352209,39.3,33.6340405065,33.620083752,39.1,33.5934794696,39.2,33.5685300909,33.556643566,39.4,33.5339855429,39.5,33.5127369486,33.5026135725,39.6,33.4833164532,39.5,33.4652196997,33.4565979415,36.8,33.4401631973,31.0,33.4247507666,33.4174078887,30.5,33.4034109385,34.2,33.3902846603,33.3840309642,37.9,33.3721102058,38.0,33.3609309712,33.3556048967,39.1,33.3454523651,40.2,33.3359313656,33.331395317,41.5,33.3227487279,41.1,33.3146399948,33.3107767861,41.8,33.3034127606,41.6,33.2965068099,33.2932166376,41.9,33.2869449307,41.8,33.2810633517,33.2782612163,42.3
7,37.5,35.4735849612,38.3,35.366087461,35.314764707,38.7,35.2167290779,39.0,35.1245340168,35.0805171379,39.4,34.9964370356,36.5,34.9173660871,34.8796150805,31.1,34.8075039136,30.1,34.7396888396,34.7073117484,28.9,34.6454657201,28.6,34.587304229,34.5595360679,33.9,34.5064939195,35.9,34.4566118086,34.4327964891,38.3,34.3873049744,38.7,34.3445236608,34.3240984897,39.8,34.2850827639,40.6,34.2483914379,34.2308738222,40.8,34.1974120467,40.6,34.1659437889,34.1509198335,40.4,34.1222213946,40.5,34.0952326931,34.0823474214,40.8,34.0577342506,40.9,34.0345874334,34.0235364006,41.0,34.0024269536,40.9,33.9825751224,33.9730972215,38.0,33.9549927376,31.1,33.937966846,33.9298381393,30.2,33.9143108573,34.5,33.8997086282,33.8927370557,38.1,33.8794201069,38.5,33.8668965282,33.8609173701,39.6,33.84949611,40.5,33.8387552825,33.833627267,42.3,33.8238318413,42.6,33.8146199876,33.8102219532,43.2,33.8018209218,43.0,33.79392039,33.7901484228,43.2,33.7829432915,43.2,33.7761674129,33.7729323912,43.7
8,37.8,36.1243850434,38.6,36.021821335,35.9725758512,38.9,35.8779787212,39.0,35.7883458192,35.7453090016,39.1,35.6626382848,36.6,35.5843059269,35.5466950125,32.4,35.4744470764,31.6,35.4059905369,35.3731214504,30.7,35.3099822341,30.4,35.2501564108,35.2214313222,35.5,35.1662524361,37.0,35.1139692042,35.0888656555,39.0,35.0406434942,39.0,34.994951915,34.9730133175,40.0,34.930870806,40.5,34.8909398314,34.8717671612,40.5,34.8349378026,40.3,34.8000411594,34.7832856998,40.2,34.7510996338,40.3,34.7206026145,34.7059596136,40.5,34.6778314331,40.6,34.6511793514,34.6383824793,40.8,34.613800583,40.9,34.590508685,34.5793251894,37.7,34.5578424765,33.1,34.5374871243,34.5277135974,32.9,34.5089393358,36.5,34.4911503018,34.4826089806,39.9,34.4662016999,39.7,34.4506554335,34.4431909666,41.3,34.4288522477,42.2,34.41526599,34.408742612,43.3,34.3962116593,43.2,34.3843383005,34.378637363,43.2,34.3676862607,43.0,34.3573098458,34.3523276588,43.1,34.342757226,43.1,34.3336890263,34.3293349728,43.6
